timestamp,plataforma,ms_reproducido,conn_country,ip_addr,cancion,artista,album,spotify_track_uri,episodio,podcast,spotify_episode_uri,motivo_inicio,motivo_fin,modo_aleatorio,saltada,offline,offline_timestamp,incognito_mode,fecha,anio,mes,dia,hora,dia_semana,minutos,tipo
2018-04-29 20:56:11+00:00,Windows 7 (6.1.7601; x86; SP1; S),180000,AR,181.21.190.171,Cicatrices,Natos y Waor,Cicatrices,spotify:track:19OsDvOm2hw28Bqg7wo4Ox,,,,clickrow,trackdone,False,False,False,,False,2018-04-29,2018,4,29,20,Sunday,3.0,cancion
2018-04-29 20:58:36+00:00,Windows 7 (6.1.7601; x86; SP1; S),143640,AR,181.21.190.171,Piratas,Natos y Waor,Cicatrices,spotify:track:3qip0w84KOrKFeXV8THbSi,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,20,Sunday,2.39,cancion
2018-04-29 21:00:20+00:00,Windows 7 (6.1.7601; x86; SP1; S),104672,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,trackdone,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,1.74,cancion
2018-04-29 21:00:22+00:00,Windows 7 (6.1.7601; x86; SP1; S),1057,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,0.02,cancion
2018-04-29 21:02:06+00:00,Windows 7 (6.1.7601; x86; SP1; S),104672,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,trackdone,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,1.74,cancion
2018-04-29 21:04:51+00:00,Windows 7 (6.1.7601; x86; SP1; S),164513,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,trackdone,trackdone,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,2.74,cancion
2018-04-29 21:05:54+00:00,Windows 7 (6.1.7601; x86; SP1; S),61243,AR,181.21.190.171,43 Puestas de Sol,Beelze,43 Puestas de Sol,spotify:track:2DfxbsHkiN1RNRz8tv27Yo,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,1.02,cancion
2018-04-29 21:07:37+00:00,Windows 7 (6.1.7601; x86; SP1; S),102710,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,1.71,cancion
2018-04-29 21:09:57+00:00,Windows 7 (6.1.7601; x86; SP1; S),139080,AR,181.21.190.171,Wake Up,Beelze,Wake Up,spotify:track:4SDGuHXwnjsPp29sBoq2Zz,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,2.32,cancion
2018-04-29 21:16:33+00:00,Windows 7 (6.1.7601; x86; SP1; S),371417,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,6.19,cancion
2018-04-29 21:17:04+00:00,Windows 7 (6.1.7601; x86; SP1; S),10100,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,appload,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,0.17,cancion
2018-04-29 21:45:19+00:00,Windows 7 (6.1.7601; x86; SP1; S),284310,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,4.74,cancion
2018-04-29 21:46:04+00:00,Windows 7 (6.1.7601; x86; SP1; S),43220,AR,181.21.190.171,Kriptonita,Kodigo,Kriptonita,spotify:track:5rLmR2uNvoKg5dF2GIt8TF,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,0.72,cancion
2018-04-29 21:46:50+00:00,Windows 7 (6.1.7601; x86; SP1; S),46420,AR,181.21.190.171,Big Bong,Kodigo,Exitos,spotify:track:4GUF4Ho3ltYRzhCXT6vQhd,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,0.77,cancion
2018-04-29 21:48:34+00:00,Windows 7 (6.1.7601; x86; SP1; S),104672,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,trackdone,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,1.74,cancion
2018-04-29 21:48:36+00:00,Windows 7 (6.1.7601; x86; SP1; S),357,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,0.01,cancion
2018-04-29 21:57:20+00:00,Windows 7 (6.1.7601; x86; SP1; S),220932,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,trackdone,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,3.68,cancion
2018-04-29 21:57:38+00:00,Windows 7 (6.1.7601; x86; SP1; S),16077,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,trackdone,backbtn,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,0.27,cancion
2018-04-29 21:59:22+00:00,Windows 7 (6.1.7601; x86; SP1; S),104672,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,backbtn,trackdone,False,False,False,,False,2018-04-29,2018,4,29,21,Sunday,1.74,cancion
2018-04-29 22:02:07+00:00,Windows 7 (6.1.7601; x86; SP1; S),164513,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,2.74,cancion
2018-04-29 22:05:33+00:00,Windows 7 (6.1.7601; x86; SP1; S),186154,AR,181.21.190.171,43 Puestas de Sol,Beelze,43 Puestas de Sol,spotify:track:2DfxbsHkiN1RNRz8tv27Yo,,,,appload,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,3.1,cancion
2018-04-29 22:07:11+00:00,Windows 7 (6.1.7601; x86; SP1; S),97488,AR,181.21.190.171,Borrador,Beelze,Borrador,spotify:track:4dkyMJ06vo3rCQLfqGsI5J,,,,trackdone,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.62,cancion
2018-04-29 22:08:51+00:00,Windows 7 (6.1.7601; x86; SP1; S),99218,AR,181.21.190.171,Yuigon,Beelze,Yuigon,spotify:track:1sPo8YW0oVMim8T1qbhwhI,,,,trackdone,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.65,cancion
2018-04-29 22:11:57+00:00,Windows 7 (6.1.7601; x86; SP1; S),185469,AR,181.21.190.171,Wake Up,Beelze,Wake Up,spotify:track:4SDGuHXwnjsPp29sBoq2Zz,,,,trackdone,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,3.09,cancion
2018-04-29 22:15:03+00:00,Windows 7 (6.1.7601; x86; SP1; S),185469,AR,181.21.190.171,Wake Up,Beelze,Wake Up,spotify:track:4SDGuHXwnjsPp29sBoq2Zz,,,,trackdone,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,3.09,cancion
2018-04-29 22:16:41+00:00,Windows 7 (6.1.7601; x86; SP1; S),97488,AR,181.21.190.171,Borrador,Beelze,Borrador,spotify:track:4dkyMJ06vo3rCQLfqGsI5J,,,,trackdone,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.62,cancion
2018-04-29 22:18:26+00:00,Windows 7 (6.1.7601; x86; SP1; S),104672,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.74,cancion
2018-04-29 22:21:31+00:00,Windows 7 (6.1.7601; x86; SP1; S),164513,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,appload,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,2.74,cancion
2018-04-29 22:24:37+00:00,Windows 7 (6.1.7601; x86; SP1; S),186154,AR,181.21.190.171,43 Puestas de Sol,Beelze,43 Puestas de Sol,spotify:track:2DfxbsHkiN1RNRz8tv27Yo,,,,trackdone,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,3.1,cancion
2018-04-29 22:25:00+00:00,Windows 7 (6.1.7601; x86; SP1; S),21352,AR,181.21.190.171,Yuigon,Beelze,Yuigon,spotify:track:1sPo8YW0oVMim8T1qbhwhI,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,0.36,cancion
2018-04-29 22:26:44+00:00,Windows 7 (6.1.7601; x86; SP1; S),104672,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,trackdone,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.74,cancion
2018-04-29 22:28:04+00:00,Windows 7 (6.1.7601; x86; SP1; S),78617,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,trackdone,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.31,cancion
2018-04-29 22:28:18+00:00,Windows 7 (6.1.7601; x86; SP1; S),11000,AR,181.21.190.171,C.R.O 24/Siempre,El Triangulo Estudio,"24/Siempre, Vol. 1",spotify:track:6t5PsfTj1NA2hEwXcgsLYY,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,0.18,cancion
2018-04-29 22:31:53+00:00,Windows 7 (6.1.7601; x86; SP1; S),214570,AR,181.21.190.171,Acru 24/Siempre,El Triangulo Estudio,"24/Siempre, Vol. 1",spotify:track:4qrA13sylYADAKhB6cu3dg,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,3.58,cancion
2018-04-29 22:33:22+00:00,Windows 7 (6.1.7601; x86; SP1; S),88630,AR,181.21.190.171,43 Puestas de Sol,Beelze,43 Puestas de Sol,spotify:track:2DfxbsHkiN1RNRz8tv27Yo,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.48,cancion
2018-04-29 22:35:06+00:00,Windows 7 (6.1.7601; x86; SP1; S),104672,AR,181.21.190.171,Quid Pro Quo,Beelze,Quid Pro Quo,spotify:track:0wlTKKhxTY0o7nDcggQy9y,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.74,cancion
2018-04-29 22:35:36+00:00,Windows 7 (6.1.7601; x86; SP1; S),7150,AR,181.21.190.171,Fata Morgana,Beelze,Fata Morgana,spotify:track:4jdpOST4FwBDW1QmwmZHgi,,,,appload,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,0.12,cancion
2018-04-29 22:36:38+00:00,Windows 7 (6.1.7601; x86; SP1; S),62180,AR,181.21.190.171,Piratas,Natos y Waor,Cicatrices,spotify:track:3qip0w84KOrKFeXV8THbSi,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.04,cancion
2018-04-29 22:38:23+00:00,Windows 7 (6.1.7601; x86; SP1; S),104090,AR,181.21.190.171,Cicatrices,Natos y Waor,Cicatrices,spotify:track:19OsDvOm2hw28Bqg7wo4Ox,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.73,cancion
2018-04-29 22:39:49+00:00,Windows 7 (6.1.7601; x86; SP1; S),85170,AR,181.21.190.171,Ayer,Arce,Luciffer,spotify:track:2OEhqfCsg2y52ghc9i1TRX,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.42,cancion
2018-04-29 22:40:44+00:00,Windows 7 (6.1.7601; x86; SP1; S),53740,AR,181.21.190.171,Bicho raro,Natos y Waor,Cicatrices,spotify:track:4MonThJItfsXWPFIvAT5EX,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,0.9,cancion
2018-04-29 22:42:26+00:00,Windows 7 (6.1.7601; x86; SP1; S),101940,AR,181.21.190.171,Alfa y omega,Natos y Waor,Cicatrices,spotify:track:260fBuGy4zZwHVHtd9YtLL,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.7,cancion
2018-04-29 22:50:27+00:00,Windows 7 (6.1.7601; x86; SP1; S),480490,AR,181.21.190.171,Filosofia Callejera,Victor Rutty,Filosofia Callejera,spotify:track:6lcOuZkqHbY1kVJpy3fFta,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,8.01,cancion
2018-04-29 22:51:27+00:00,Windows 7 (6.1.7601; x86; SP1; S),59790,AR,181.21.190.171,El Flaco,Victor Rutty,El Flaco,spotify:track:4YLEPrP15210foQYYoGVCg,,,,clickrow,endplay,False,False,False,,False,2018-04-29,2018,4,29,22,Sunday,1.0,cancion
