timestamp,plataforma,ms_reproducido,conn_country,ip_addr,cancion,artista,album,spotify_track_uri,episodio,podcast,spotify_episode_uri,motivo_inicio,motivo_fin,modo_aleatorio,saltada,offline,offline_timestamp,incognito_mode,fecha,anio,mes,dia,hora,dia_semana,minutos,tipo
2023-01-14 01:12:50+00:00,windows,1700,AR,186.4.104.9,In My Darkest Hour - Remastered 2004,Megadeth,"So Far, So Good...So What!",spotify:track:5LO0sJCkNMZYLYeGOvblLu,,,,playbtn,endplay,True,True,False,1673658536.0,False,2023-01-14,2023,1,14,1,Saturday,0.03,cancion
2023-01-14 01:13:07+00:00,windows,1730,AR,186.4.104.9,Wake up Dead (feat. Dave Mustaine),Lamb of God,Wake up Dead (feat. Dave Mustaine),spotify:track:4v3Iyw1DP578eRpoQPpcv9,,,,playbtn,fwdbtn,True,True,False,1673658553.0,False,2023-01-14,2023,1,14,1,Saturday,0.03,cancion
2023-01-14 01:16:16+00:00,windows,190040,AR,186.4.104.9,Cold Sweat,Megadeth,Super Collider,spotify:track:5UJraESM8I4ksmQoEzu95i,,,,fwdbtn,trackdone,True,False,False,1673658554.0,False,2023-01-14,2023,1,14,1,Saturday,3.17,cancion
2023-01-14 01:20:29+00:00,windows,252146,AR,186.4.104.9,Life In Hell,Megadeth,"The Sick, The Dying… And The Dead!",spotify:track:1wObJxo4kYisj7tot8PVvT,,,,trackdone,trackdone,True,False,False,1673658744.0,False,2023-01-14,2023,1,14,1,Saturday,4.2,cancion
2023-01-14 01:21:22+00:00,windows,52343,AR,186.4.104.9,Sudden Death,Megadeth,Th1rt3en,spotify:track:2DbEz7cLYTUu48o5D6iCP4,,,,trackdone,fwdbtn,True,True,False,1673658997.0,False,2023-01-14,2023,1,14,1,Saturday,0.87,cancion
2023-01-14 01:25:30+00:00,windows,248560,AR,186.4.104.9,Almost Honest - Remastered 2004 / Remixed,Megadeth,Cryptic Writings,spotify:track:2uw3kbepHeeeLTykdUeOtI,,,,fwdbtn,trackdone,True,False,False,1673659050.0,False,2023-01-14,2023,1,14,1,Saturday,4.14,cancion
2023-01-14 01:28:32+00:00,windows,181093,AR,186.4.104.9,Anarchy In The U.K. - Remastered 2004,Megadeth,"So Far, So Good...So What!",spotify:track:74EF3QE9twDF2LRByd2ATx,,,,trackdone,trackdone,True,False,False,1673659298.0,False,2023-01-14,2023,1,14,1,Saturday,3.02,cancion
2023-01-14 01:32:57+00:00,windows,265133,AR,186.4.104.9,Dread and the Fugitive Mind,Megadeth,The World Needs a Hero,spotify:track:4Bfxp472zIwiSYjZsK76EN,,,,trackdone,trackdone,True,False,False,1673659480.0,False,2023-01-14,2023,1,14,1,Saturday,4.42,cancion
2023-01-14 01:34:42+00:00,windows,103183,AR,186.4.104.9,Foreclosure Of A Dream - 2004 Remastered,Megadeth,Countdown To Extinction,spotify:track:4goJhfQRbNfYybpYf9xmbL,,,,trackdone,fwdbtn,True,True,False,1673659745.0,False,2023-01-14,2023,1,14,1,Saturday,1.72,cancion
2023-01-14 01:39:22+00:00,windows,279040,AR,186.4.104.9,Conquer Or Die,Megadeth,Dystopia,spotify:track:1xdmx0UEYQE5Wl7D7UUt5U,,,,fwdbtn,fwdbtn,True,True,False,1673659850.0,False,2023-01-14,2023,1,14,1,Saturday,4.65,cancion
2023-01-14 01:41:29+00:00,windows,127730,AR,186.4.104.9,Architecture Of Aggression,Megadeth,Countdown To Extinction,spotify:track:1BbocHcTYAu0wCS4NqgRsI,,,,fwdbtn,fwdbtn,True,True,False,1673660129.0,False,2023-01-14,2023,1,14,1,Saturday,2.13,cancion
2023-01-14 01:43:29+00:00,windows,120390,AR,186.4.104.9,The Threat Is Real,Megadeth,Dystopia,spotify:track:5qrlMOwqunICbaOZaKAoBN,,,,fwdbtn,fwdbtn,True,True,False,1673660257.0,False,2023-01-14,2023,1,14,1,Saturday,2.01,cancion
2023-01-14 01:44:09+00:00,windows,39020,AR,186.4.104.9,We’ll Be Back,Megadeth,"The Sick, The Dying… And The Dead!",spotify:track:1Ap9wotYS99H8R17VONySZ,,,,fwdbtn,fwdbtn,True,True,False,1673660378.0,False,2023-01-14,2023,1,14,1,Saturday,0.65,cancion
2023-01-14 01:46:19+00:00,windows,129460,AR,186.4.104.9,Rust In Peace...Polaris - 2004 Remix,Megadeth,Rust In Peace,spotify:track:0803SWqmIJGvZ15B8zsewn,,,,fwdbtn,fwdbtn,True,True,False,1673660417.0,False,2023-01-14,2023,1,14,1,Saturday,2.16,cancion
2023-01-14 01:51:17+00:00,windows,299106,AR,186.4.104.9,Dystopia,Megadeth,Dystopia,spotify:track:0KiRc3f3OI9C7s0S1QjQNO,,,,fwdbtn,trackdone,True,False,False,1673660546.0,False,2023-01-14,2023,1,14,1,Saturday,4.99,cancion
2023-01-14 01:53:50+00:00,windows,152600,AR,186.4.104.9,Paranoid,Megadeth,Hidden Treasures,spotify:track:0WTc2jsUgF4Y2MOz0aYvsR,,,,trackdone,trackdone,True,False,False,1673660845.0,False,2023-01-14,2023,1,14,1,Saturday,2.54,cancion
2023-01-14 02:00:05+00:00,windows,373403,AR,186.4.104.9,In My Darkest Hour - Remastered 2004,Megadeth,"So Far, So Good...So What!",spotify:track:5LO0sJCkNMZYLYeGOvblLu,,,,trackdone,fwdbtn,True,True,False,1673660998.0,False,2023-01-14,2023,1,14,2,Saturday,6.22,cancion
2023-01-14 02:02:16+00:00,windows,131090,AR,186.4.104.9,Wake Up Dead - 2004 Remaster,Megadeth,Peace Sells...But Who's Buying?,spotify:track:1I3qfFMraXE0kAPtRERpok,,,,fwdbtn,fwdbtn,True,True,False,1673661373.0,False,2023-01-14,2023,1,14,2,Saturday,2.18,cancion
2023-01-14 02:02:38+00:00,windows,22060,AR,186.4.104.9,"The Sick, The Dying… And The Dead!",Megadeth,"The Sick, The Dying… And The Dead!",spotify:track:6RzK7XvwxnRq6AKDklJS6L,,,,fwdbtn,endplay,True,True,False,1673661504.0,False,2023-01-14,2023,1,14,2,Saturday,0.37,cancion
2023-01-14 02:03:07+00:00,windows,1450,AR,186.4.104.9,Wolves,Marc Holstege,Marc Holstege | Jaquomo,spotify:track:4DhIu7G7CkCTCYigKFbFur,,,,clickrow,endplay,True,True,False,1673661553.0,False,2023-01-14,2023,1,14,2,Saturday,0.02,cancion
2023-01-14 02:03:45+00:00,windows,2970,AR,186.4.104.9,Zzzonked,Enter Shikari,Common Dreads,spotify:track:4op8P4vAmeEoVZaCOhCVnx,,,,playbtn,fwdbtn,True,True,False,1673661580.0,False,2023-01-14,2023,1,14,2,Saturday,0.05,cancion
2023-01-14 02:03:52+00:00,windows,1970,AR,186.4.104.9,Search Party,Enter Shikari,A Flash Flood of Colour,spotify:track:386YQrk4HB9PjyIto8TMzm,,,,fwdbtn,fwdbtn,True,True,False,1673661594.0,False,2023-01-14,2023,1,14,2,Saturday,0.03,cancion
2023-01-14 02:05:49+00:00,windows,5665,AR,186.4.104.9,"Gandhi Mate, Gandhi",Enter Shikari,A Flash Flood of Colour,spotify:track:2tEmDiotG8pKcA47AO2GnJ,,,,fwdbtn,fwdbtn,True,True,False,1673661600.0,False,2023-01-14,2023,1,14,2,Saturday,0.09,cancion
2023-01-14 02:05:58+00:00,windows,6315,AR,186.4.104.9,Undercover Agents - Live At Alexandra Palace 2,Enter Shikari,Live At Alexandra Palace 2,spotify:track:6zE8CAdv0nPGqpcr0RzYHD,,,,fwdbtn,fwdbtn,True,True,False,1673661717.0,False,2023-01-14,2023,1,14,2,Saturday,0.11,cancion
2023-01-14 02:06:03+00:00,windows,1380,AR,186.4.104.9,Arguing With Thermometers - Taz Buckfaster Remix,Enter Shikari,Arguing With Thermometers,spotify:track:5TRrrqmqzim52z2dtLjMUZ,,,,fwdbtn,endplay,True,True,False,1673661727.0,False,2023-01-14,2023,1,14,2,Saturday,0.02,cancion
2023-01-14 02:09:37+00:00,windows,214973,AR,186.4.104.9,Replace Space,Jaquomo,Marc Holstege | Jaquomo,spotify:track:0p2KDYSr3l3fSbyZ3OaCem,,,,playbtn,trackdone,True,False,False,1673661731.0,False,2023-01-14,2023,1,14,2,Saturday,3.58,cancion
2023-01-14 02:12:25+00:00,windows,166666,AR,186.4.104.9,Close & Hide,Jaquomo,Marc Holstege | Jaquomo,spotify:track:1BEbaPlM2Pb9qTpxFS4Aaj,,,,trackdone,endplay,True,True,False,1673661945.0,False,2023-01-14,2023,1,14,2,Saturday,2.78,cancion
2023-01-14 15:35:33+00:00,windows,4320,AR,186.4.104.9,Mothership - 2006 download version,Enter Shikari,Mothership,spotify:track:69e8kbLlJajWqZ4yILXReC,,,,appload,fwdbtn,True,True,False,1673710289.0,False,2023-01-14,2023,1,14,15,Saturday,0.07,cancion
2023-01-14 15:35:34+00:00,windows,920,AR,186.4.104.9,modern living….,Enter Shikari,Nothing is True & Everything is Possible,spotify:track:6sTLsQqnO4YBmOyzoKRhu2,,,,fwdbtn,fwdbtn,True,True,False,1673710300.0,False,2023-01-14,2023,1,14,15,Saturday,0.02,cancion
2023-01-14 15:35:39+00:00,windows,4460,AR,186.4.104.9,Return To Energiser - Live In Moscow. May 2017,Enter Shikari,Take To The Skies: Live In Moscow. May 2017,spotify:track:5MjJ7GjBVeXdLMlCe663y0,,,,fwdbtn,endplay,True,True,False,1673710301.0,False,2023-01-14,2023,1,14,15,Saturday,0.07,cancion
2023-01-14 15:38:23+00:00,windows,161950,AR,186.4.104.9,"Sorry, you're not a winner/Remix",Enter Shikari,Take To The Skies,spotify:track:6ePJ7QZCbBFs4a4l45wLZ8,,,,clickrow,fwdbtn,True,True,False,1673710307.0,False,2023-01-14,2023,1,14,15,Saturday,2.7,cancion
2023-01-14 15:38:33+00:00,windows,10370,AR,186.4.104.9,Wall - High Contrast Remix,Enter Shikari,Tribalism,spotify:track:3nHhZUJzb3cTaZYgLox6Bq,,,,fwdbtn,fwdbtn,True,True,False,1673710470.0,False,2023-01-14,2023,1,14,15,Saturday,0.17,cancion
2023-01-14 15:38:35+00:00,windows,1820,AR,186.4.104.9,Hoodwinker,Enter Shikari,Hoodwinker,spotify:track:3EoEdlHxkoi8VNv6QtS5zD,,,,fwdbtn,fwdbtn,True,True,False,1673710481.0,False,2023-01-14,2023,1,14,15,Saturday,0.03,cancion
2023-01-14 15:43:01+00:00,windows,265466,AR,186.4.104.9,Sorry You're Not a Winner - Recorded at BBC Radio 1's Zane Lowe Show,Enter Shikari,The Zone,spotify:track:4UzU6cJPROwlAnpcCJ8643,,,,fwdbtn,trackdone,True,False,False,1673710482.0,False,2023-01-14,2023,1,14,15,Saturday,4.42,cancion
2023-01-14 15:45:22+00:00,windows,140913,AR,186.4.104.9,The Sights,Enter Shikari,The Spark,spotify:track:1gEPQfklgXi4DGHjWJY2Cv,,,,trackdone,fwdbtn,True,True,False,1673710747.0,False,2023-01-14,2023,1,14,15,Saturday,2.35,cancion
2023-01-14 15:48:06+00:00,windows,163270,AR,186.4.104.9,{ The Dreamer's Hotel },Enter Shikari,thē kĭñg,spotify:track:2pmMvnPz9hoZIX1xXDvpC2,,,,fwdbtn,fwdbtn,True,True,False,1673710890.0,False,2023-01-14,2023,1,14,15,Saturday,2.72,cancion
2023-01-14 15:53:56+00:00,windows,350720,AR,186.4.104.9,All Eyes On The Saint,Enter Shikari,Common Dreads,spotify:track:2X6vmCy66WfNCdPyRoMcl2,,,,fwdbtn,trackdone,True,False,False,1673711053.0,False,2023-01-14,2023,1,14,15,Saturday,5.85,cancion
2023-01-14 15:58:03+00:00,windows,246226,AR,186.4.104.9,Search Party,Enter Shikari,A Flash Flood of Colour,spotify:track:386YQrk4HB9PjyIto8TMzm,,,,trackdone,trackdone,True,False,False,1673711403.0,False,2023-01-14,2023,1,14,15,Saturday,4.1,cancion
2023-01-14 16:02:02+00:00,windows,238053,AR,186.4.104.9,Labyrinth,Enter Shikari,The Zone,spotify:track:1obF9utqPm0ldCsl1Rdj3a,,,,trackdone,trackdone,True,False,False,1673711650.0,False,2023-01-14,2023,1,14,16,Saturday,3.97,cancion
2023-01-14 16:06:52+00:00,windows,290760,AR,186.4.104.9,Mothership - 2006 download version,Enter Shikari,Mothership,spotify:track:69e8kbLlJajWqZ4yILXReC,,,,trackdone,trackdone,True,False,False,1673711888.0,False,2023-01-14,2023,1,14,16,Saturday,4.85,cancion
2023-01-14 16:13:38+00:00,windows,405197,AR,186.4.104.9,Anaesthetist - Koven Remix,Enter Shikari,Anaesthetist,spotify:track:51SBUGmAzFcHLktXxXBl8B,,,,trackdone,trackdone,True,False,False,1673712180.0,False,2023-01-14,2023,1,14,16,Saturday,6.75,cancion
2023-01-14 16:18:55+00:00,windows,316666,AR,186.4.104.9,Juggernauts - Live In Moscow. May 2017,Enter Shikari,Take To The Skies: Live In Moscow. May 2017,spotify:track:3lg2ZWXTGFYy6YdJ8JBcnV,,,,trackdone,trackdone,True,False,False,1673712585.0,False,2023-01-14,2023,1,14,16,Saturday,5.28,cancion
2023-01-14 16:20:17+00:00,windows,81583,AR,186.4.104.9,The Spark - Live At Alexandra Palace 2,Enter Shikari,Live At Alexandra Palace 2,spotify:track:0wXobnk58Cb5WwE4k5hptw,,,,trackdone,trackdone,True,False,False,1673712903.0,False,2023-01-14,2023,1,14,16,Saturday,1.36,cancion
2023-01-14 16:24:40+00:00,windows,262306,AR,186.4.104.9,Labyrinth - Live In Moscow. May 2017,Enter Shikari,Take To The Skies: Live In Moscow. May 2017,spotify:track:7C93owR62BlmUKdEv4j2kr,,,,trackdone,trackdone,True,False,False,1673712985.0,False,2023-01-14,2023,1,14,16,Saturday,4.37,cancion
2023-01-14 16:31:54+00:00,windows,433480,AR,186.4.104.9,Redshift - Live at Alexandra Palace,Enter Shikari,Live at Alexandra Palace,spotify:track:03jEDgL13cTW1zFEWznX11,,,,trackdone,trackdone,True,False,False,1673713247.0,False,2023-01-14,2023,1,14,16,Saturday,7.22,cancion
2023-01-14 16:35:57+00:00,windows,242867,AR,186.4.104.9,Never Let Go of the Microscope,Enter Shikari,The Mindsweep,spotify:track:7ITW1KflK1ckOxC1R3nCII,,,,trackdone,trackdone,True,False,False,1673713681.0,False,2023-01-14,2023,1,14,16,Saturday,4.05,cancion
2023-01-14 16:38:51+00:00,windows,173266,AR,186.4.104.9,Arguing With Thermometers - Live at Alexandra Palace,Enter Shikari,Live at Alexandra Palace,spotify:track:4zKMP5aBcPnnIyqDqq0DFm,,,,trackdone,trackdone,True,False,False,1673713925.0,False,2023-01-14,2023,1,14,16,Saturday,2.89,cancion
2023-01-14 16:42:34+00:00,windows,222520,AR,186.4.104.9,The Last Garrison,Enter Shikari,The Mindsweep,spotify:track:5zZ79IgPs6vOWf7NRwC1d2,,,,trackdone,trackdone,True,False,False,1673714099.0,False,2023-01-14,2023,1,14,16,Saturday,3.71,cancion
2023-01-14 16:47:22+00:00,windows,287360,AR,186.4.104.9,The Jester - Live in Hatfield,Enter Shikari,Live from Planet Earth,spotify:track:0CkzG82a6ClXD8BuESm01U,,,,trackdone,trackdone,True,False,False,1673714322.0,False,2023-01-14,2023,1,14,16,Saturday,4.79,cancion
2023-01-14 16:50:13+00:00,windows,170866,AR,186.4.104.9,The Feast - Demo,Enter Shikari,Sorry You're Not a Winner / OK! Time for Plan B,spotify:track:6l3GUfcQOICK3qKqewycXT,,,,trackdone,trackdone,True,False,False,1673714609.0,False,2023-01-14,2023,1,14,16,Saturday,2.85,cancion
2023-01-14 16:57:17+00:00,windows,423425,AR,186.4.104.9,Quelle Surprise - Live from the Hammersmith Apollo,Enter Shikari,Live in London. W6. March 2012. Bootleg Series Vol. 4,spotify:track:2LdCcE5F9HWaOHbe4nv2EQ,,,,trackdone,trackdone,True,False,False,1673714781.0,False,2023-01-14,2023,1,14,16,Saturday,7.06,cancion
2023-01-14 17:00:42+00:00,windows,204568,AR,186.4.104.9,Rabble Rouser - Shikari Sound System Remix,Enter Shikari,Rabble Rouser,spotify:track:2JV6PcSAHwsunVW3KxegqA,,,,trackdone,trackdone,True,False,False,1673715205.0,False,2023-01-14,2023,1,14,17,Saturday,3.41,cancion
2023-01-14 17:04:50+00:00,windows,246640,AR,186.4.104.9,Gap In The Fence,Enter Shikari,Common Dreads,spotify:track:39gGDgD7O2HlyxLByHNuOH,,,,trackdone,trackdone,True,False,False,1673715410.0,False,2023-01-14,2023,1,14,17,Saturday,4.11,cancion
